,snapped_at,price,market_cap,total_volume,price_pct_change,price_vs_ma7,price_vs_ma14,momentum_7,rsi,macd,signal_line,histogram,signal
1501,2019-09-17 00:00:00+00:00,197.60691638393752,21223483200.061485,8404868032.960358,0.044130237001301476,12.517949708435054,16.664532505705125,16.592260151969867,71.8578043149299,-1.0713083892884754,-4.493478015511675,3.4221696262231998,1.0
1503,2019-09-19 00:00:00+00:00,210.24907372866744,22689784462.139828,10026926701.837383,0.004961067429484878,16.41326484823861,24.60258389478693,32.16612392248288,83.47653870034661,2.681539580255219,-2.1806629434241045,4.862202523679324,1.0
1507,2019-09-23 00:00:00+00:00,211.6175384045225,22812625864.18045,8770978542.694231,-0.0173103487538675,-0.3433617358131187,14.277766436029879,22.362492069061176,76.34685414154224,7.306136768167448,3.0002557402714958,4.3058810278959525,0.0
1508,2019-09-24 00:00:00+00:00,201.00337752581868,21659224040.64268,8336808955.502666,-0.05015728355375759,-11.442731349071408,2.235839750622432,3.3964611418811614,64.84357331075842,6.568905751556514,3.7139857425285,2.854920009028014,0.0
1511,2019-09-27 00:00:00+00:00,166.21680322909975,18012013650.053577,8887474208.578917,-0.023912687413617184,-26.797318188932593,-30.11759691363389,-55.5261227657941,42.56497488809548,-1.3510223263708951,2.201981643551377,-3.553003969922272,1.0
1514,2019-09-30 00:00:00+00:00,169.6894747522977,18340364798.35873,6622811335.857158,-0.02521965814299565,-5.14720485682696,-23.709315122432457,-41.92806365222478,40.547824040815655,-4.302113826996475,-0.5833283799980356,-3.7187854469984396,1.0
1520,2019-10-06 00:00:00+00:00,176.2772565733896,19009613625.563316,6878002599.189638,0.0023546883544633967,-0.8165925591756888,-2.6828694869000174,2.197551160956948,25.80585327075424,-4.071948866450782,-3.120308541104691,-0.9516403253460912,0.0
1521,2019-10-07 00:00:00+00:00,170.44710628243018,18414715905.660275,6183872973.064911,-0.033073752135075574,-6.754975925868308,-5.572274626281427,0.7576315301324712,25.150917609415657,-4.500332964519288,-3.3963134257876106,-1.1040195387316771,1.0
1523,2019-10-09 00:00:00+00:00,180.78979326727543,19537703569.993225,7965287586.524669,0.00358349308030248,3.5099341929482932,5.394906380137968,0.15735243892024187,62.05841071319062,-3.530616550307542,-3.5215422313150255,-0.009074318992516428,1.0
1525,2019-10-11 00:00:00+00:00,191.04108656991252,20655168596.9981,8489850464.079381,-0.011890203700230195,9.912146318061758,12.22653157831229,14.182561016485664,70.89539632391265,-1.1612319620283813,-2.8240769278877087,1.6628449658593274,0.0
1529,2019-10-15 00:00:00+00:00,186.61606753146776,20182332549.589005,6948746949.167441,0.02939434690804621,1.8199079307552495,5.589297653870801,6.4718199289323195,56.25303809145043,-0.8100089298026205,-1.8223676157988318,1.0123586859962113,0.0
1530,2019-10-16 00:00:00+00:00,180.74563079187547,19551821811.16607,7255387196.496509,-0.031457295276048014,-4.044219883779903,-0.2892240831157835,-0.04416247539995766,50.09457758214506,-0.8953782796002372,-1.636969748559113,0.7415914689588758,0.0
1537,2019-10-23 00:00:00+00:00,171.4265472158501,18558740241.107227,6863039381.640138,-0.016793079260402077,-2.6109971959726295,-7.987150327888941,-9.319083576025378,42.11419084423685,-2.9453237348706125,-2.3036978981775103,-0.6416258366931022,0.0
1539,2019-10-25 00:00:00+00:00,160.67839136074096,17399743469.054173,7385746457.861195,-0.005604837037475496,-9.035074046009981,-14.298264080844831,-16.79852727374083,22.530827124602652,-4.686304733308845,-3.036579042261775,-1.6497256910470695,1.0
1543,2019-10-29 00:00:00+00:00,181.86179987269557,19665873705.50524,10802432065.022448,-0.00936426375017596,7.558922226221426,7.025940016688196,7.507303784631148,46.39611004618384,-1.2734257454915792,-2.53238198198503,1.258956236493451,1.0
1544,2019-10-30 00:00:00+00:00,190.50596091786505,20630859876.73889,10858105798.943794,0.04753148297894594,13.477452742531653,14.972934624286978,19.07941370201496,57.10007979365348,-0.08163919765735272,-2.0422334251194947,1.960594227462142,0.0
1563,2019-11-18 00:00:00+00:00,183.9879638750186,19958777557.908268,6738152838.897733,0.007431992842781732,-0.458370172471092,-1.85832949635369,-5.057018348501515,52.627188497057126,0.8266291083857311,1.3663412709138822,-0.5397121625281511,0.0
1566,2019-11-21 00:00:00+00:00,174.80445727797053,18988847253.54836,6713792276.519455,-0.005778776579246747,-5.279282374251011,-8.3832685743468,-13.038431215823067,29.825521849974734,-0.917328997007786,0.49743059961661756,-1.4147595966244035,0.0
1567,2019-11-22 00:00:00+00:00,161.15147727923085,17491549308.65305,8718872247.235916,-0.07810430129381074,-15.555572427926194,-20.20303038184676,-23.636829615451433,24.361767126551925,-2.4440328179028086,-0.09086208388726782,-2.3531707340155408,0.0
1569,2019-11-24 00:00:00+00:00,151.96608493452732,16542855738.706274,7399048990.785586,0.013609361025715971,-16.039880691254524,-24.621280498429968,-30.664569225898447,21.988903227390594,-5.91061025649708,-1.9615250326587936,-3.949085223838286,0.0
1570,2019-11-25 00:00:00+00:00,140.24681084120735,15475834863.359888,7849310718.476399,-0.07711769437482763,-21.51041863688718,-32.854970921584766,-43.74115303381126,13.322602205057706,-7.877175704326788,-3.144655166992393,-4.732520537334395,1.0
1572,2019-11-27 00:00:00+00:00,147.57506848968612,16079208209.774963,7520914600.00864,0.008397086188665304,-5.570042629077847,-19.970673411222577,-28.245416086706285,20.947546974121636,-9.398420417996135,-5.306919999778766,-4.091500418217369,1.0
1591,2019-12-16 00:00:00+00:00,142.21086918955265,15508762801.226492,6837194965.911324,0.0025803121574012877,-2.0493250713844304,-3.8648247140044134,-8.081579615470957,33.08678835670422,-5.998383681540901,-6.542645947505309,0.5442622659644085,0.0
1592,2019-12-17 00:00:00+00:00,132.72274321129302,14450939875.930876,8956132139.815428,-0.06671871167324717,-9.43651989021484,-12.19977035116807,-14.706518116004332,25.819769701899787,-6.600620148080424,-6.554240787620333,-0.04637936046009106,0.0
1593,2019-12-18 00:00:00+00:00,121.770107290006,13287532088.063696,9871891691.072151,-0.08252267589022444,-16.989359826515567,-21.341131666772924,-23.798571894904143,20.235209173946373,-7.870951639539385,-6.817582958004143,-1.0533686815352414,1.0
1594,2019-12-19 00:00:00+00:00,132.74136111736684,14431239759.79371,11532439096.28435,0.09009808787662354,-4.535017776444391,-9.465567238490621,-10.381617558972323,37.78950092858543,-7.901328409986519,-7.0343320484006195,-0.8669963615858993,0.0
1597,2019-12-22 00:00:00+00:00,126.93287325611249,13835225941.813122,4862554350.74467,-0.0104258119476911,-3.456741331533408,-10.969286854998359,-14.911991903404129,31.062961349050923,-8.451795049204321,-7.676467409991671,-0.7753276392126498,1.0
1598,2019-12-23 00:00:00+00:00,132.17746965077103,14364983064.322144,7466406124.29696,0.04131787345644122,3.2211978543796533,-4.430763377893186,-10.033399538781623,33.67038996500146,-8.026483813207193,-7.746470690634777,-0.2800131225724156,0.0
1604,2019-12-29 00:00:00+00:00,128.0669874384903,13985982758.17354,6709535782.463888,0.013772232124138695,0.4812020022800141,-0.920712573437811,1.1341141823778003,37.10425084651005,-7.033091037852898,-7.567808987000045,0.5347179491471463,1.0
1609,2020-01-03 00:00:00+00:00,127.04525801179804,13859793329.814829,6497297884.22486,-0.026358855972223427,-2.511353352066237,-1.5837189459110448,1.4306736972609997,48.43877334222765,-4.765036377965146,-5.960345651404306,1.1953092734391602,1.0
1612,2020-01-06 00:00:00+00:00,135.00571364233377,14738834254.266088,7260645128.406949,0.006477196480205505,3.4308979740520726,5.272114693722415,0.6820664424476774,54.12290689022818,-2.9189280792375882,-4.720328817343244,1.8014007381056558,1.0
1616,2020-01-10 00:00:00+00:00,137.86055928182662,14998595868.023438,7280640218.292043,-0.01720473577181869,-0.3973792517445247,3.9532843331088827,10.815301270028584,64.8288561914989,-0.1587498862681116,-2.3060015944664367,2.147251708198325,1.0
1620,2020-01-14 00:00:00+00:00,143.58796905036286,15715287657.358463,8019794567.486078,-0.0126177347827372,1.1662719321021484,5.707979687679,-0.21842890530248837,63.79108934198862,1.6341016984715395,-0.2285718497941339,1.8626735482656733,1.0
1623,2020-01-17 00:00:00+00:00,163.80590111423027,17869543294.566414,14605493158.53319,-0.014719700482082043,10.684702603933175,18.116332592296146,25.945341832403642,79.6163460080996,6.040297712098948,2.36804667580108,3.6722510362978675,1.0
1625,2020-01-19 00:00:00+00:00,174.23837318258896,19138755594.52358,15808136411.02366,0.01800784887692819,12.74467703831337,23.009157536154248,32.05603990761023,80.65757426402863,8.429939285266272,4.367760291981715,4.062178993284557,0.0
1629,2020-01-23 00:00:00+00:00,167.8265296405669,18358377435.95901,8809189828.884594,-0.008585815031507904,-0.7266977424087031,8.842555396245075,1.5734327356780966,71.55315289487032,8.742632722965595,6.94854061072811,1.794092112237485,0.0
1632,2020-01-26 00:00:00+00:00,160.6736108617405,17587666193.195988,8673816085.484137,-0.010688223942037722,-4.508469313546357,-2.6642772980407017,-13.564762320848445,65.54132618417661,6.892694297866996,7.188816561971154,-0.29612226410415854,1.0
1634,2020-01-28 00:00:00+00:00,169.7364357354222,18576520021.386745,12435457692.695446,0.012460831663476446,4.008896801157249,2.943333294533005,2.7979076776523755,70.59646577231541,6.891618442628783,7.073946036890959,-0.18232759426217626,1.0
1636,2020-01-30 00:00:00+00:00,173.70688823620796,19140249467.28951,15565369994.796808,-0.008465750279102902,6.29500276041415,5.7243318068232725,5.88035859564107,57.80508297339028,7.394897283883182,7.172177906431557,0.22271937745162518,1.0
1642,2020-02-05 00:00:00+00:00,188.8422073694828,20665245888.10715,21734656893.64477,-0.005369991697657839,4.805955841068453,13.538164481353078,13.652204316029014,68.53383196158553,10.009272797031826,8.789315657898491,1.219957139133335,1.0
1643,2020-02-06 00:00:00+00:00,203.8593183747095,22414850796.683693,27708721578.171207,0.0795220052466592,15.515576826509204,25.981504862712427,30.15243013850153,77.15840210940767,11.225450648034126,9.276542655925619,1.9489079921085075,1.0
1644,2020-02-07 00:00:00+00:00,212.73341421352785,23314707733.86607,30730370695.67516,0.04353048911164836,20.388644696453667,31.268883336731705,28.007195782117407,85.9158475352582,12.758276260342996,9.972889376809094,2.785386883533901,1.0
1648,2020-02-11 00:00:00+00:00,224.14699652028605,24577280465.17777,40180881296.506096,-0.01815770844257736,9.225383087091501,25.64322149062656,34.28523305730437,84.56804588202812,17.679809096999037,13.922673132141067,3.7571359648579694,1.0
1649,2020-02-12 00:00:00+00:00,236.78534852972567,25966283262.662064,17260236147.946793,0.056384213063929156,15.014714930782134,33.88190596604676,47.943141160242874,85.85901279269173,18.8415282811105,14.906444161934957,3.935084119175542,1.0
1651,2020-02-14 00:00:00+00:00,267.6704445042514,29312880235.867893,31919298278.23887,0.013777366671046343,29.45545659687781,52.3905657920275,54.937030290723555,89.77449921005895,24.001169699557778,17.814049755070187,6.187119944487591,1.0
1652,2020-02-15 00:00:00+00:00,284.2318914741183,31059453816.69378,32486783383.59592,0.061872527617085726,37.30896474871636,61.451813646057644,60.955571726198286,95.52179688264376,26.843420837908155,19.619923971637782,7.223496866270374,0.0
1655,2020-02-18 00:00:00+00:00,267.9356656159883,29075052114.63163,28621805406.26781,0.022045712907720727,4.119621462346913,28.56683682257028,43.78866909570223,79.44966164797046,26.914655409196627,23.211086833658463,3.7035685755381635,1.0
